wsp,stat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
3,max,500.0,359.9968,5.003968,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.5240032,218.58272,114.53663999999999,222.2864,0.0,3.0,0.0,-36592.1984,535.5423999999999,-826.6416477,-69024.42508,336.0384,-800.1038506,23108.16,23059.362004000002,-210.31992578999998,-6189.902579999999,10513.582362,-13.818046679999998,-6189.902579999999,10513.552236000001,-13.8097768,-6189.947756,10513.582362,-13.81787458,-0.0011780616302,-0.3243979895,0.016675904000000002,0.0023283480285999996,0.5608534855,0.29984928,70.42336,0.5608534855,0.29986688,70.42336,0.5608534855,0.29987040000000004,70.42336,73.24110499999999,-9.394617275,-77.46322203999999,0.0,-0.8804346806000001,-0.8801071668,-0.8802294228,0.25725983999999996,0.25729248,0.25728096,0.008024640000000001,0.008024672,0.008024640000000001,207485.76,0.04549856,0.04549856,0.04549856,108725.44,3.0,0.5240128,1.284956661e-05,0.0,1590.4430276,206330.24,4337.8240000000005,8298624.0,0.0,-0.26798991358999996,-14891208.885,-0.18830458479,0.2331472,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.005248448,0.04555232,0.04554464,-210335.51115,108715.84,0.0,-210335.51115,0.0,0.0,0.04549856,0.04549856,0.04549856,102.56096000000001
3,min,300.015625,0.0,5.003655252,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.5240032,214.47746329,112.389078,221.66816595,0.0,3.0,0.0,-37149.439999999995,77.4528196,-908.0544,-69095.68000000001,263.9686644,-933.8144000000001,-23086.4961,-23133.824,-214.89311999999998,-8769.119999999999,-11167.583999999999,-128.46527999999998,-8769.119999999999,-11167.552,-128.46304,-8769.184,-11167.583999999999,-128.46368,-0.0025916384,-0.325936,-0.016539891158000003,-0.0023875135999999997,-0.614992,-0.031858986,70.41675781000001,-0.614992,-0.031860856,70.41675781000001,-0.614992,-0.031861230000000004,70.41675781000001,-73.264,-23.415200000000002,-223.29728,0.0,-1.2562496,-1.2562304,-1.2562368,0.21043854911999998,0.21044112747,0.21043974522,0.0077874115800000004,0.0077874426339999995,0.0077874115800000004,203063.71974,0.04549856,0.04549856,0.04549856,106401.43372,3.0,0.5239800492,-1.5010079999999999e-05,0.0,-1844.2592,204299.1767,0.0,8297586.672,0.0,-0.26801504,-14893536.0,-0.18832224,0.23312534245,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.005172509518,0.04555232,0.04554464,-214881.6,106412.42314,0.0,-214881.6,0.0,0.0,0.04549856,0.04549856,0.04549856,28.018372260000003
3,mean,400.005,181.91610182861,5.0038361688993005,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.5240032,216.18754144302952,113.28242710448252,221.92557707442498,0.0,3.0,0.0,-36884.661255481995,308.20535744654,-866.86233109047,-69059.672081912,299.44547375418006,-866.8602883411851,55.758184755000144,368.6908739682001,-212.231442399483,-7497.536832738748,-499.42575090555,-64.92667728828599,-7531.434592291498,-212.26002062980007,-63.464433065165,-7503.016512063899,-271.32550949264987,-63.82331104543599,-0.0018858932021986548,-0.325206170729375,5.085369037000048e-07,1.2940734065900085e-06,-0.036193592784474996,0.13396158262122002,70.420486286766,-0.020544059522349997,0.13860994465541202,70.42044095172798,-0.02396931992647501,0.136012613719185,70.42040673037648,1.1601298307250005,-16.4566571807425,-149.86907400199598,0.0,-1.0644118652819003,-1.0592477849117201,-1.06196570282166,0.23437487770918197,0.23501909574505048,0.234630842352951,0.0079084700326515,0.007907846843933098,0.0079109881396065,204909.4083454905,0.04549856,0.04549856,0.04549856,107372.41424644452,3.0,0.52400128973134,-4.3366689250874995e-07,0.0,-48.287440415164994,204957.67192357598,946.0028179171501,8298144.923029797,0.0,-0.26800001189417905,-14892633.847327948,-0.18831335001325802,0.2331386045184625,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.0052107643565782,0.045552319999999986,0.04554464000000001,-212231.6059074975,107372.430211432,0.0,-212231.6059074975,0.0,0.0,0.04549856,0.04549856,0.04549856,62.774343201856
3,std,57.736470019486084,103.86364302935411,9.360712923616139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120533362957952,0.4777028609570542,0.1355315843580182,0.0,0.0,0.0,178.86040025612414,116.22090849817681,26.090554683081354,22.97265080536216,21.67822144851319,32.39906946275596,16398.72717000566,16259.318738286542,1.0109587752306948,911.2586400593233,7632.901161817296,40.6726859976195,906.0524508263367,7668.756402212316,40.717730482565536,913.3762613036905,7691.969129101094,40.89610644444144,0.00036148193430150105,0.000489296837613238,0.010016329924406498,0.0012745661508607327,0.4139519059738398,0.11679502649194017,0.0019777532595203293,0.4158228918137115,0.11664410440858139,0.002003757704134908,0.4171738569909709,0.11752843774342576,0.0019840296028387763,51.57679716837802,4.9763287404822085,51.764648112527496,0.0,0.13068650895503248,0.1305427335581008,0.13146966155268983,0.016340874506577476,0.016301247431841054,0.016425833421522543,8.293568555843796e-05,8.263589151618043e-05,8.220049543967895e-05,972.9622237184432,0.0,0.0,0.0,511.1582293123753,0.0,8.541073218056318e-06,7.526598754946143e-06,0.0,852.8409130381734,507.0335576863908,1207.9296656834313,247.16848396420323,0.0,7.741898807661095e-06,538.9904460100302,6.059738162121485e-06,5.913098507202453e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2770433689483715e-05,1.387813476552062e-17,1.387813476552062e-17,1007.6078850788691,511.0932174100082,0.0,1007.6078850788691,0.0,0.0,0.0,0.0,0.0,23.957689204331242
4,max,500.0,359.99039999999997,5.0039359999999995,1.4695616,0.0,1.4695616,0.0,1.4695616,0.0,0.5240032,1351.056,707.9455999999999,426.5728,0.0,4.0,0.0,-5962.194656000001,1467.0496,-745.0246386,-67948.28601,1433.9104,-745.0792442000001,22971.328,22925.419380000003,-1340.2071018,-10551.7435,10846.559500000001,13.417894579999999,-10551.850168,10846.559500000001,13.41816768,-10551.63681,10846.591475,13.42335416,-0.007911464576,-0.22283694236999999,0.001320248516,0.0015617655900000001,0.6161152000000001,0.6378592000000001,70.42464,0.616112,0.6378336,70.42464,0.6161215999999999,0.6378912,70.42464,73.26132265,-8.826248046,-77.43697442999999,0.0,0.8496224,0.8494528,0.8498208,0.4790336,0.47902079999999997,0.47906560000000004,0.007820448,0.007820543999999999,0.007820512,1298780.8,0.025648672,0.025648672,0.025648672,680572.8,4.0,0.5240096,1.0175591520000001e-05,0.0,1188.7366018,1298006.4,3181.8656,8298495.999999999,0.0,-0.26798831374,-14319266.634,-0.20326126246999998,0.22821471999999998,0.025648672,1.5707968,0.0,0.0,0.0,0.025648672,0.0,0.0,0.0014615840000000001,0.025679648,0.025671744,-1340230.0104,680572.8,0.0,-1340230.0104,0.0,0.0,0.025648672,0.025648672,0.025648672,102.33984
4,min,300.015625,0.0112497,5.003779626999999,1.4695616,0.0,1.4695616,0.0,1.4695616,0.0,0.5240032,1345.4406735,705.0032011,425.99959279999996,0.0,4.0,0.0,-6462.2080000000005,1123.8058389,-812.4864,-68009.92,1426.5167995,-812.4352,-22947.638818,-22991.52,-1345.2096,-12741.728000000001,-10855.04,-78.61088,-12741.376,-10855.04,-78.61248,-12742.08,-10855.072,-78.61408,-0.008980096,-0.22421728,-0.0013225216,-0.00158928,-0.5578345528,0.3339990236,70.41583691999999,-0.5578316555,0.33400555109999996,70.41583691999999,-0.5578210936,0.3339958455,70.41583691999999,-73.29568,-23.069504000000002,-223.30208,0.0,0.5209512847,0.5209269296000001,0.5209401504,0.43810616680000003,0.4380944604,0.43810549120000003,0.007397410641000001,0.007397257056,0.007397226788,1293991.5458,0.025648672,0.025648672,0.025648672,678041.9199,4.0,0.5239932247,-1.3474816e-05,0.0,-1539.6896,1295085.8856,0.0,8297718.015999999,0.0,-0.26801344,-14321952.0,-0.20328032,0.22819332487,0.025648672,1.5707968,0.0,0.0,0.0,0.025648672,0.0,0.0,0.0014039884555,0.025679648,0.025671744,-1345190.4,678041.9199,0.0,-1345190.4,0.0,0.0,0.025648672,0.025648672,0.025648672,26.73308508
4,mean,400.005,178.98394590499498,5.003839494403049,1.4695615999999998,0.0,1.4695615999999998,0.0,1.4695615999999998,0.0,0.5240032,1347.6422530284003,706.1622850335999,426.2238734474,0.0,4.0,0.0,-6223.811108754401,1294.79837809425,-778.87650741153,-67978.849880579,1429.440872156895,-778.8771705407,-207.67394184819997,-306.6760178692501,-1342.06305805866,-11676.69129371165,134.7804847340001,-24.991041273114497,-11657.6539441972,-165.58498509,-26.213315979167998,-11687.639412130498,15.647365794350044,-25.541457499391502,-0.0084346625643356,-0.22356109201446298,-2.373802285600017e-07,-5.880931979999837e-07,0.03677972176204,0.48917081889648506,70.42149454947749,0.0205696731107,0.485497926679185,70.4215865416635,0.030526277039569994,0.48909835521170997,70.4215346034915,-0.9581055536279993,-15.906732283538,-150.77635290072396,0.0,0.691858781799405,0.68845007128275,0.6925702114585499,0.45931724467708,0.45893135025264,0.45946228130893996,0.00761731341507015,0.0076132168817472,0.007611430575021351,1295760.032705665,0.025648672,0.025648672,0.025648672,678977.6511400649,4.0,0.5239998738905649,-6.727947626448001e-07,0.0,-75.565206155545,1295836.66467057,883.713876341525,8298152.9609216,0.0,-0.268000574098567,-14321014.986290399,-0.20327153829017597,0.22820633096952697,0.025648672,1.5707968,0.0,0.0,0.0,0.025648672,0.0,0.0,0.0014304047981433254,0.025679647999999996,0.025671744,-1342062.1071783002,678977.8000153651,0.0,-1342062.1071783002,0.0,0.0,0.025648672,0.025648672,0.025648672,62.103043094328
4,std,57.736470019486084,104.54863077275438,7.601202773656359e-05,2.2205015624832993e-16,0.0,2.2205015624832993e-16,0.0,2.2205015624832993e-16,0.0,0.0,1.18339777175967,0.6185037755819994,0.12324198919673938,0.0,0.0,0.0,161.85036104326434,109.56120253152798,23.335562868146045,20.545976245419038,1.708966513516171,23.30334800860058,16259.138044341187,16206.145073026575,1.0740278053595704,775.656845790911,7662.42649875556,32.7521351934765,770.1775361265474,7648.486157544509,32.82411953786795,771.6588257277966,7704.273954582707,32.95429726395499,0.0003406359012659248,0.00044338836056107006,0.0008426241718081064,0.0010918733758058185,0.41451804600930797,0.10735611559172008,0.002447169415228402,0.4136893191708034,0.10667773652004219,0.0024338104856298014,0.4167135090087711,0.10736274372268724,0.0024676616440656,51.74381783080471,5.0412131769898325,51.63394068140837,0.0,0.11436430492055272,0.11363366947459322,0.11417013037968499,0.014299344798384397,0.014205247897888604,0.014254580786420366,0.00014929709919420423,0.0001505829916617853,0.00014986486918445375,1032.8625040237912,0.0,0.0,0.0,548.2211469629941,0.0,8.042013975905442e-06,7.355399749085711e-06,0.0,829.8711469422386,706.9215217856388,1140.0039258783318,263.182998795596,0.0,8.75440872611663e-06,572.3919940465557,6.428983202714761e-06,6.037800824025565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1038880955834164e-05,3.469533691380155e-18,0.0,1069.738074500275,548.176914037045,0.0,1069.738074500275,0.0,0.0,0.0,0.0,0.0,24.29476900468847
5,max,500.0,359.98720000000003,5.0039359999999995,0.0006436992,0.0,0.0006436992,0.0,0.0006436992,0.0,0.5240032,3147.8624,1649.4624,678.768,0.0,5.0,0.0,31874.464,3101.5936,-609.2212998,-66605.67888,3229.8239999999996,-609.2896003999999,22793.184,22750.352068,-3134.1026417999997,-15905.917335,11602.336,57.21664,-15905.888439999999,11602.176,57.20992,-15906.004019999998,11602.080000000002,57.208639999999995,-0.018315515708,-0.0973589616,0.0014715418896,0.0013999002568,0.7063104,1.0537856,70.42368,0.7062976000000001,1.05376,70.42368,0.7062912,1.0537888,70.42368,73.27907943999999,-8.120604654000001,-77.40906167,0.0,3.0362112,3.0361344,3.036272,0.7557216,0.7557119999999999,0.7557248,0.008054912,0.00805504,0.008054944,3030313.6,1.1234496000000001e-05,1.1234496000000001e-05,1.1234496000000001e-05,1587916.8,5.0,0.5240128,1.1250118314e-05,0.0,1331.2505112000001,3029513.6,3563.552,8298528.0,0.0,-0.26798991358999996,-13411884.799999999,-0.22521664396000002,0.2244816,1.1234496000000001e-05,1.5707968,0.0,0.0,0.0,1.1246848e-05,0.0,0.0,0.0014028128,2.0633344e-05,1.2738528e-05,-3134083.4694000003,1587916.8,0.0,-3134083.4694000003,0.0,0.0,1.1234656e-05,1.1234656e-05,1.1234656e-05,102.05568
5,min,300.015625,0.0112496,5.003623254,0.0006429951540000001,0.0,0.0006429951540000001,0.0,0.0006429951540000001,0.0,0.5239868248999999,3141.4683045,1646.1634752,678.2801355,0.0,5.0,0.0,31435.194043,2692.1832448,-673.2192,-66659.84,3221.547576,-673.1551999999999,-22766.117094,-22806.656,-3138.6144,-17615.136,-10111.798396999999,-4.05344134,-17615.104,-10111.658952,-4.05475308,-17615.232,-10111.93785,-4.05287459,-0.019605824,-0.09856640000000001,-0.0015011904,-0.0014195072,-0.46444323239999996,0.78622285,70.4126763,-0.4644568874,0.78620375,70.4126763,-0.4644526788,0.7862252375,70.4126763,-73.33408,-22.639776,-223.30208,0.0,2.7551719008,2.7551022096,2.7551321895,0.7195178121,0.719508672,0.7195208587999999,0.007423104839999999,0.0074232227999999996,0.00742313433,3025957.5242,1.1222559348000001e-05,1.1222559348000001e-05,1.1222559348000001e-05,1585584.5472,5.0,0.5239800492,-1.5142751999999999e-05,0.0,-1730.5824,3027146.7925000004,0.0,8297750.013,0.0,-0.26801504,-13414400.0,-0.22523776,0.22446055485,1.1222559348000001e-05,1.5707968,0.0,0.0,0.0,1.1222596984e-05,0.0,0.0,0.0012527556683,2.0619158576e-05,1.2724197155999999e-05,-3138595.2,1585584.5472,0.0,-3138595.2,0.0,0.0,1.1222368095e-05,1.1222368095e-05,1.1222368095e-05,25.14396816
