wsp,stat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
3.0,max,500.0,359.9776,5.004352,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.5240256,225.9152,118.38144,223.03423999999998,0.0,3.0,0.0,-36501.109560000004,1036.32,-829.1175426,-39905.29872,958.0128,-829.6210868000001,-68813.78997999999,352.608,-803.244039,23031.728992,23069.625634,-206.17973253,3720.855432,3720.69855,-580.053229,-7574.615787,16671.578196,-46.5780688,-7574.40159,16671.311252,-46.583532579999996,-7574.483116,16671.691652,-46.572605100000004,0.000252406944,-0.3236842299,0.019119584,0.003383954806,1.5642336,-1.0588017779999999,117.12128,1.5643008,-1.0589033044,117.12128,1.5643264,-1.058544697,117.12128,119.66839138,-9.97563814,-31.667776469999996,0.0,-0.8734215379999999,-0.8731501482,-0.872777727,0.25822016,0.25816928,0.25824,0.008026528,0.008026464,0.008026464,213729.91999999998,0.04549856,0.04549856,0.04549856,112006.4,3.0,0.5240543999999999,5.3437875660000006e-05,0.0,6179.09412,208230.08,16550.208000000002,8299904.0,0.0,-0.2679479405,-14888232.16,-0.18827266580000002,0.2331856,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.005946176,0.04555232,0.04554464,-206110.12496,112007.36,0.0,-206110.12496,0.0,0.0,0.04549856,0.04549856,0.04549856,102.54784000000001
3.0,min,300.015625,0.0,5.003100912,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.5239600968,201.32574245,105.50005956000001,218.94992548,0.0,3.0,0.0,-37241.280000000006,-373.46381999999994,-992.6207999999999,-40565.759999999995,-299.4089379,-992.1472,-69068.48,257.86663799999997,-1017.328,-23090.176,-23073.951999999997,-221.31936,-3721.0879999999997,-3721.28,-583.6096,-11181.792,-17381.504,-163.1456,-11180.960000000001,-17381.792,-163.14687999999998,-11182.112,-17381.056,-163.14432000000002,-0.004224384,-0.3262432,-0.018778418922999997,-0.004070464,-1.5325089873,-2.0697408,117.08833964,-1.53252594,-2.0696864,117.08833964,-1.5325021347999999,-2.069744,117.08833964,-119.75072,-32.69696,-270.01568,0.0,-1.2578528,-1.2578016,-1.257888,0.21025576527999998,0.21027081077,0.21025578000000003,0.007722774081,0.007722461676,0.007722712503,198995.91363999998,0.04549856,0.04549856,0.04549856,104260.4574,3.0,0.5239233863999999,-7.345728e-05,0.0,-8364.256,205061.07846999998,0.0,8295754.048,0.0,-0.2680736,-14895680.0,-0.18836096,0.2330981554,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.005529572044,0.04555232,0.04554464,-221370.88,104261.35101,0.0,-221370.88,0.0,0.0,0.04549856,0.04549856,0.04549856,27.99556032
3.0,mean,400.005,178.99590753382,5.0038200921175,2.6068736,0.0,2.6068736,0.0,2.6068736,0.0,0.52399955101494,217.21695190189752,113.82168954375601,221.60222810111102,0.0,3.0,0.0,-36880.012002177005,335.905031262,-894.0092976310499,-40243.464022656,332.591065917975,-894.00786214916,-69009.233489534,303.96448510964996,-894.0080720870001,-212.92392935840016,-305.06789394895026,-213.33671442143097,-47.781287468600034,36.32706558599997,-582.4523313436799,-9398.0904659703,-133.90452674900004,-97.82421959382,-9363.88144634075,-604.8064325158499,-96.201019740995,-9412.970142343,-313.4522451676,-97.47743394774301,-0.0019885328810838,-0.32504217134205,-6.03282623899997e-07,-1.2618692803999826e-06,0.03692793800579999,-1.5542840361249899,117.106546874984,-0.005789513924100014,-1.566110048019925,117.10636423898801,0.020976719980579997,-1.553651134497,117.106547057986,-1.5354714241940006,-21.288776848534994,-151.2377994695095,0.0,-1.06297420814502,-1.0678832238191698,-1.0635841200861,0.23449724634428398,0.23390844151827206,0.23447733624000003,0.00791391198701775,0.0079130899200903,0.00791084954586765,205976.13445911798,0.04549856,0.04549856,0.04549856,107931.63236944,3.0,0.5240002144127099,-5.980288010580001e-07,0.0,-66.8915429237,206043.00140269846,3274.2743248583997,8298142.980837401,0.0,-0.26800075518785005,-14892055.7181345,-0.18831163032477402,0.23313643026577252,0.04549856,1.5707968,0.0,0.0,0.0,0.04549856,0.0,0.0,0.0056351759160693,0.045552319999999986,0.04554464000000001,-213336.51584324802,107931.50545072948,0.0,-213336.51584324802,0.0,0.0,0.04549856,0.04549856,0.04549856,62.719743163753
3.0,std,57.736470019486084,104.55726661455154,0.0002549082820532295,0.0,0.0,0.0,0.0,0.0,0.0,1.771337829007471e-05,7.547713936555832,3.955010900427726,1.2583573827405519,0.0,0.0,0.0,229.96858595479782,212.65440283423925,37.05892280181416,207.76992750368458,189.5102409080337,37.054649323379095,71.19415763526399,22.272043843216416,41.67183628624455,16319.75275868865,16269.348572318355,3.1154586834110582,2627.502577097525,2633.7678046371757,0.848596146301014,1268.4419061731203,12031.021675950844,41.618784531461294,1258.0273853751407,12006.037804648426,41.31065340077308,1262.2164124577823,12094.87835096497,41.72943912496648,0.0006690549105712849,0.0008381748073745299,0.010061366774605774,0.0021239923907717057,1.094733736448011,0.3561093023353751,0.009683213111836154,1.0923171712881463,0.35356256076455017,0.009744910186773918,1.1003418475635154,0.3557139540377309,0.009757602630712762,84.54473925101392,8.036176621965481,84.35970408524597,0.0,0.13227684414443305,0.13130595895894046,0.13239653800368775,0.016521019579690998,0.016385331333759114,0.016512502807224057,8.358980129949025e-05,8.381380797286703e-05,8.330190965893782e-05,3010.461477204259,0.0,0.0,0.0,1582.736288125658,0.0,2.6529422625683544e-05,2.6220620626565622e-05,0.0,2961.783775048964,634.9658538937904,3699.1365817175943,838.067930893602,0.0,2.6318022575041555e-05,1577.9841303816552,1.872809869175138e-05,1.8712044343673488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.548700472240137e-05,1.387813476552062e-17,1.387813476552062e-17,3117.980781608517,1582.7119410672424,0.0,3117.980781608517,0.0,0.0,0.0,0.0,0.0,23.969680344504454
3.5,max,500.0,359.9776,5.004352,2.0382176,0.0,2.0382176,0.0,2.0382176,0.0,0.524032,722.4864,378.5888,321.51039999999995,0.0,3.5,0.0,-21722.968836,1253.7567999999999,-799.2804677,-26617.260056000003,1203.0592,-799.398804,-68241.19827000001,842.3743999999999,-773.6658435,22956.016034,23007.392,-698.564412,3720.387181,3720.18663,-680.3017146000001,-10167.680352,16842.03024,-31.908136199999998,-10167.919674,16842.412041,-31.90794318,-10168.0182,16842.349459,-31.89841056,-0.003253325205,-0.2746616666,0.018366905464,0.003637931395,1.6259744,-0.3867073248,117.13632,1.6260287999999998,-0.38649376739999997,117.13632,1.6260032,-0.3864154625,117.13632,119.73705095999999,-9.13969668,-31.56741843,0.0,-0.0444035331,-0.044464844999999996,-0.044202345999999997,0.36485439999999997,0.3648608,0.3648832,0.007885791999999999,0.007885791999999999,0.007885791999999999,689510.4,0.03557344,0.03557344,0.03557344,361337.60000000003,3.5,0.5240511999999999,5.11959484e-05,0.0,5967.84474,684364.7999999999,16047.584,8299840.0,0.0,-0.26795049930000003,-14638779.014999999,-0.19562214,0.23059904,0.03557344,1.5707968,0.0,0.0,0.0,0.03557344,0.0,0.0,0.0056534720000000005,0.03562016,0.035612160000000004,-698525.23,361337.60000000003,0.0,-698525.23,0.0,0.0,0.03557344,0.03557344,0.03557344,102.43776
3.5,min,300.015625,0.0,5.003100912,2.0382176,0.0,2.0382176,0.0,2.0382176,0.0,0.52395012,688.6650053999999,360.8779427,316.83845199999996,0.0,3.5,0.0,-22489.728,261.99599129999996,-956.4704,-27301.504,319.5250044,-955.9328,-68547.52,752.2403392,-980.6816,-23023.648,-22995.169323,-714.096,-3720.736,-3720.768,-684.4512000000001,-13482.752,-17224.192,-158.6976,-13481.952,-17224.032000000003,-158.69664,-13483.2,-17223.968,-158.69856,-0.006381024,-0.27734848,-0.018837248,-0.0045102399999999996,-1.4668829673,-1.3550848,117.11435694000001,-1.4668812312,-1.3550784,117.11435694000001,-1.4668581368,-1.3551008,117.11435694000001,-119.81568,-32.06208,-270.02335999999997,0.0,-0.40585920000000003,-0.40584,-0.4058752,0.3196352578,0.3196408646,0.3196262806,0.007448623406,0.007448623406,0.007448623406,674405.8128,0.03557344,0.03557344,0.03557344,353343.00560000003,3.5,0.5239201872,-7.62128e-05,0.0,-8682.08,680686.3391999999,0.0,8295690.08,0.0,-0.26807616,-14646560.0,-0.19572,0.23050535914,0.03557344,1.5707968,0.0,0.0,0.0,0.03557344,0.0,0.0,0.005402069167,0.03562016,0.035612160000000004,-714147.2,353354.2974,0.0,-714147.2,0.0,0.0,0.03557344,0.03557344,0.03557344,27.370089
3.5,mean,400.005,178.86142327725,5.003837177287999,2.0382176,0.0,2.0382176,0.0,2.0382176,0.0,0.5240008184584002,710.65897477089,372.38583428511004,319.89493834179996,0.0,3.5,0.0,-22121.028412250995,768.91437256745,-857.7970876544,-26971.602821069402,771.84884141232,-857.7979725027701,-68479.77705651602,797.16465031728,-857.798406105005,-177.5384795051496,-325.6333611685495,-706.0978882556999,-51.44629110760001,30.90335022959999,-683.25601131456,-11840.0521328312,47.039376003199884,-88.51161433435499,-11806.3593081258,-428.24102687835006,-86.7289915159155,-11850.68271153,-179.3601491085501,-87.93173259214349,-0.00485454733282545,-0.27608154217614894,-1.2892330264000014e-06,-2.310285873000013e-06,0.10216863240626502,-0.86086999957948,117.12474894486452,0.05907891851961002,-0.8730162209152799,117.12466255682851,0.08195507852014,-0.8619117579727501,117.12472679877901,-1.6570927898880004,-20.567569025688,-151.016851405173,0.0,-0.22454149459365,-0.22906212272399998,-0.22514171246342,0.34224599358365493,0.34170006352050003,0.34222188940939996,0.007729545837519349,0.00772792010756925,0.007725269434125499,681736.55162544,0.035573440000000005,0.035573440000000005,0.035573440000000005,357227.73992711003,3.5,0.52399955475424,-6.359298442950004e-07,0.0,-71.75142226999999,681808.6044411599,4124.0845092979,8298130.622015001,0.0,-0.26800063121739603,-14642769.85932125,-0.1956663748606875,0.230545563362002,0.035573440000000005,1.5707968,0.0,0.0,0.0,0.035573440000000005,0.0,0.0,0.0054791439224665,0.035620160000000005,0.035612160000000004,-706095.479326445,357228.95831232995,0.0,-706095.479326445,0.0,0.0,0.035573440000000005,0.035573440000000005,0.035573440000000005,62.407199692098004
3.5,std,57.736470019486084,104.49208625695188,0.00031142552241471717,0.0,0.0,0.0,0.0,0.0,0.0,2.3807847998735577e-05,10.52054464426089,5.513437407602315,1.4591921383277655,0.0,0.0,0.0,238.74492731480004,174.00070128970086,37.99554346367866,216.02414213912624,154.6860333563228,37.99210495624606,86.83648122687315,22.768894883619204,42.22069659804686,16280.762023485244,16201.90874374281,3.790822392456268,2624.780228709355,2635.7623009168615,1.046913354017957,1163.317429522082,12025.534156699365,45.145960734189515,1153.536848468962,12020.44827001096,44.90285784306789,1158.5746052482675,12102.175192578072,45.32667444411693,0.0005386811812591368,0.0008913715580965251,0.010621310416088863,0.0022796850197132844,1.0925218277414261,0.34094910853249866,0.006543076025981121,1.091922188967976,0.338814398001304,0.006581609213890192,1.0993137642410484,0.34119759772646474,0.006612203187750564,84.51396018761494,8.11463086144905,84.47562248351396,0.0,0.12319291539073728,0.12227027987744181,0.12335511304236062,0.015364133267955596,0.015233819550642212,0.015361421221630969,0.00011739952675269395,0.00011748575001291824,0.00011702613352239023,3665.6770269182216,6.93906738276031e-18,6.93906738276031e-18,6.93906738276031e-18,1942.230096521612,0.0,3.2374771455136364e-05,3.197052968779578e-05,0.0,3610.2426707170976,744.0840403991299,4364.955140637225,1021.0282009044555,0.0,3.2038393255788957e-05,1934.5887516386608,2.3840451433485732e-05,2.3776690577952913e-05,6.93906738276031e-18,0.0,0.0,0.0,0.0,6.93906738276031e-18,0.0,0.0,4.236669212312445e-05,6.93906738276031e-18,0.0,3796.8424494324,1942.1970986269876,0.0,3796.8424494324,0.0,0.0,6.93906738276031e-18,6.93906738276031e-18,6.93906738276031e-18,24.131957312298415
4.0,max,500.0,359.99039999999997,5.004448,1.4695616,0.0,1.4695616,0.0,1.4695616,0.0,0.5240416,1365.4912,715.5168,427.744,0.0,4.0,0.0,-5771.416955000001,1927.0368,-748.0217055,-12273.957037999999,1872.3552000000002,-748.0061409,-67626.12904,1452.8768,-748.0391591,22872.033057,22938.048,-1335.1571999999999,3719.790968,3719.398482,-788.5387482,-12938.376174,17102.239999999998,-13.488985620000001,-12938.44768,17102.368,-13.484544699999999,-12938.207994,17101.92,-13.4796498,-0.006925094546,-0.221758372,0.00409569031,0.0030511641160000003,1.7069536,0.3317271938,117.14623999999999,1.7069888,0.3317996088,117.14623999999999,1.7069248,0.33131261949999996,117.14623999999999,119.79941001,-8.244896226,-31.45764688,0.0,0.861504,0.8618239999999999,0.8615008000000001,0.4805216,0.4805472,0.4805056,0.007828128,0.007828064000000001,0.007827936,1306886.4000000001,0.025648672,0.025648672,0.025648672,684892.7999999999,4.0,0.524064,6.265576571e-05,0.0,7257.0539260000005,1300438.4,19427.2,8300191.999999999,0.0,-0.26793911942000004,-14315175.497,-0.20321430982,0.22826944,0.025648672,1.5707968,0.0,0.0,0.0,0.025648672,0.0,0.0,0.0033545600000000004,0.025688864,0.025681056,-1335102.2748,684892.7999999999,0.0,-1335102.2748,0.0,0.0,0.025648672,0.025648672,0.025648672,102.32288
4.0,min,300.015625,0.0112497,5.00288411,1.4695616,0.0,1.4695616,0.0,1.4695616,0.0,0.5239433422,1320.4299904,691.9494654,422.504136,0.0,4.0,0.0,-6564.256,809.2952361,-922.736,-12982.304,877.4909667000001,-922.7168,-67983.04000000001,1420.414084,-921.8336,-22948.768,-22910.092254,-1353.6,-3720.256,-3720.096,-793.2736,-15966.528,-16975.04209,-152.09568000000002,-15967.232,-16975.169137999997,-152.0992,-15967.552,-16975.258905,-152.0976,-0.010447552,-0.22456544,-0.00442912,-0.004040608,-1.3818322815,-0.5936288,117.1279359,-1.381860777,-0.5936256,117.1279359,-1.3818623084,-0.593584,117.1279359,-119.87808,-31.382976,-270.02272,0.0,0.522394488,0.5223730719999999,0.5223925476,0.4382957644,0.4383040977,0.438311202,0.007230988611,0.007230440239000001,0.007230566634,1289039.2326,0.025648672,0.025648672,0.025648672,675368.5094999999,4.0,0.523916607,-8.994592e-05,0.0,-10276.384,1297146.6653,0.0,8295263.760999999,0.0,-0.26808992000000004,-14324576.0,-0.20333504,0.22814817186,0.025648672,1.5707968,0.0,0.0,0.0,0.025648672,0.0,0.0,0.0025221049700000003,0.025688864,0.025681056,-1353587.2,675368.5094999999,0.0,-1353587.2,0.0,0.0,0.025648672,0.025648672,0.025648672,26.699876500000002
